timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612723610263,14,HTTP GET Request,200,OK,Users 1-1,text,true,,147,134,2,2,http://127.0.0.1:5000/api/reservation,13,0,0
1612723610270,18,HTTP GET Request,200,OK,Users 1-2,text,true,,147,134,3,3,http://127.0.0.1:5000/api/reservation,18,0,0
1612723610279,22,HTTP GET Request,200,OK,Users 1-3,text,true,,147,134,4,4,http://127.0.0.1:5000/api/reservation,21,0,1
1612723610285,32,HTTP GET Request,200,OK,Users 1-4,text,true,,147,134,5,5,http://127.0.0.1:5000/api/reservation,32,0,0
1612723610290,35,HTTP GET Request,200,OK,Users 1-5,text,true,,147,134,5,5,http://127.0.0.1:5000/api/reservation,35,0,1
1612723610299,35,HTTP GET Request,200,OK,Users 1-6,text,true,,147,134,6,6,http://127.0.0.1:5000/api/reservation,35,0,1
1612723610319,18,HTTP GET Request,200,OK,Users 1-9,text,true,,147,134,5,5,http://127.0.0.1:5000/api/reservation,18,0,0
1612723610326,25,HTTP GET Request,200,OK,Users 1-10,text,true,,147,134,6,6,http://127.0.0.1:5000/api/reservation,25,0,0
1612723610333,19,HTTP GET Request,200,OK,Users 1-11,text,true,,147,134,5,5,http://127.0.0.1:5000/api/reservation,19,0,1
1612723610315,39,HTTP GET Request,200,OK,Users 1-8,text,true,,147,134,4,4,http://127.0.0.1:5000/api/reservation,39,0,1
1612723610304,51,HTTP GET Request,200,OK,Users 1-7,text,true,,147,134,4,4,http://127.0.0.1:5000/api/reservation,51,0,1
1612723610340,26,HTTP GET Request,200,OK,Users 1-12,text,true,,147,134,4,4,http://127.0.0.1:5000/api/reservation,26,0,1
1612723610355,16,HTTP GET Request,200,OK,Users 1-14,text,true,,147,134,4,4,http://127.0.0.1:5000/api/reservation,16,0,1
1612723610347,25,HTTP GET Request,200,OK,Users 1-13,text,true,,147,134,3,3,http://127.0.0.1:5000/api/reservation,25,0,1
1612723610361,17,HTTP GET Request,200,OK,Users 1-15,text,true,,147,134,3,3,http://127.0.0.1:5000/api/reservation,17,0,1
1612723610369,12,HTTP GET Request,200,OK,Users 1-16,text,true,,147,134,2,2,http://127.0.0.1:5000/api/reservation,12,0,0
1612723610375,7,HTTP GET Request,200,OK,Users 1-17,text,true,,147,134,2,2,http://127.0.0.1:5000/api/reservation,7,0,0
1612723610382,5,HTTP GET Request,200,OK,Users 1-18,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,5,0,1
1612723610389,4,HTTP GET Request,200,OK,Users 1-19,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610395,4,HTTP GET Request,200,OK,Users 1-20,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610403,4,HTTP GET Request,200,OK,Users 1-21,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610409,4,HTTP GET Request,200,OK,Users 1-22,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610416,4,HTTP GET Request,200,OK,Users 1-23,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,3,0,0
1612723610424,4,HTTP GET Request,200,OK,Users 1-24,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610430,4,HTTP GET Request,200,OK,Users 1-25,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
1612723610437,4,HTTP GET Request,200,OK,Users 1-26,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,1
1612723610444,4,HTTP GET Request,200,OK,Users 1-27,text,true,,147,134,1,1,http://127.0.0.1:5000/api/reservation,4,0,0
